2022-03-17T22:03:27.621Z, run: apple, tank: 3, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_438ff0ecc6b669ce84ca463e8680ae30.png 
2022-03-17T22:40:20.416Z, run: apple, tank: 23, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_72575088ce72c20bc3115ce3383a2027.png 
2022-03-17T22:46:04.064Z, run: sam1, tank: 1, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_a04ec1aa73780540184e81e6d9b9477e.png 
2022-03-17T22:46:10.847Z, run: sam1, tank: 2, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_f728a330dd4bd2853cacb78333076b1d.png 
2022-03-17T22:46:15.754Z, run: sam1, tank: 3, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_0503458994a97b9bc318edb653afc487.png 
2022-03-17T22:46:19.842Z, run: sam1, tank: 4, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_4ada76f91d03a0ab365b4cff08ab46d1.png 
2022-03-17T22:48:38.938Z, run: pe1, tank: 1, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_6abc9b3c5cdcf024cabeded5b4310d8b.png 
2022-03-17T22:48:43.438Z, run: pe1, tank: 2, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_8ca8d2a2c4c1127ee610e96a32883939.png 
2022-03-17T22:48:47.511Z, run: pe1, tank: 3, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_bbc6eec4d10dedeca743cd177dd79491.png 
2022-03-17T22:48:51.627Z, run: pe1, tank: 4, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_cc9838d416517cc7061eebedcf00fa8c.png 
2022-03-17T22:48:56.471Z, run: pe1, tank: 5, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_f6769dc54f69609999eb31a1c3eb9346.png 
2022-03-17T22:48:57.887Z, run: pe1, tank: 6, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_7c67ace6fc0512f19c84feaa82021346.png 
2022-03-17T22:49:03.163Z, run: pe1, tank: 7, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_a1a74f657a4e67796113559a146ffa27.png 
2022-03-17T22:49:09.846Z, run: pe1, tank: 8, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_22b9d0d9ec1972c2f59627ae66c4b33f.png 
2022-03-17T22:49:16.159Z, run: pe1, tank: 9, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_796efa999bedf8573eb68927882572cf.png 
2022-03-17T22:55:15.940Z, run: pe2, tank: 1, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_064dc69af76283bbc4437ee06d67b14e.png 
2022-03-17T22:55:21.666Z, run: pe2, tank: 2, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_672fc59ff9712129a3ca7d75766d7bda.png 
2022-03-17T22:55:25.944Z, run: pe2, tank: 3, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_177ead1d65edc6263c82616bddffa2cb.png 
2022-03-17T22:55:31.184Z, run: pe2, tank: 4, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_edd0de232def8596428996ad3bb50aff.png 
2022-03-31T15:09:11.128Z, run: pe2, tank: 5, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_285bb3c517d35af5ddaca524890eaece.png 
2022-03-31T15:09:29.852Z, run: pe2, tank: 6, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_b1b5755a60d84034d4bf18899d9e1f69.png 
2022-03-31T15:12:22.535Z, run: pe2, tank: 7, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_8c539baefdd7f38fab58b9c4394c9871.png 
2022-03-31T15:12:38.554Z, run: pe2, tank: 8, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_a94b311df42e6914a95e011399b47918.png 
2022-03-31T15:12:51.687Z, run: pe2, tank: 9, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_144e2fa8c00bac9221808f9a92e3f1fd.png 
2022-03-31T15:13:17.108Z, run: pe2, tank: 10, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_ae6f133aed984d28a818d4e6cc42291a.png 
2022-03-31T15:13:36.632Z, run: pe2, tank: 11, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_9186f9fcef86566f5913d5ac48106850.png 
2022-03-31T15:13:55.421Z, run: pe2, tank: 12, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_7a353fd577be431c90e16bef8cd34f61.png 
2022-03-31T15:26:57.400Z, run: t, tank: 1, vol: 10, image: /home/pi/pi_pcv/pcv/public/upload_8b3bb8af3c62ef6d2fe4dcbb50cdc90e.png 
2022-03-31T15:41:33.514Z, run: t, tank: 2, vol: 10, image: /home/pi/pi_pcv/pcv/public/upload_2dd5d7fd59a623f3eabb892fbdbcb1e0.png 
2022-03-31T15:47:13.913Z, run: SAM84, tank: 1, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_4068484f0cb8b758c5f94a2ebef217bc.png 
2022-03-31T15:47:23.437Z, run: SAM84, tank: 2, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_ac8e4891242fd4a998bba0e60d1a4374.png 
2022-03-31T15:47:29.001Z, run: SAM84, tank: 3, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_548af49c074a2d97b787ac5377ff959b.png 
2022-03-31T15:47:34.921Z, run: SAM84, tank: 4, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_7490d703f3796843dbdbf0699ed837e0.png 
2022-03-31T15:56:08.096Z, run: PE300, tank: 1, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_a5e07f7d88b20dfe1539c2d1feb827cb.png 
2022-03-31T15:56:13.968Z, run: PE300, tank: 2, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_3624745769df34bff8d00323b630cf21.png 
2022-03-31T15:56:19.266Z, run: PE300, tank: 3, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_aa5b1e1e9139afd4d283429adb11233d.png 
2022-03-31T15:56:24.364Z, run: PE300, tank: 4, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_461b8bff85cb5a259bfdec82419616a0.png 
2022-03-31T15:56:29.486Z, run: PE300, tank: 5, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_12260aa05fbc729d1f85d440166958d2.png 
2022-03-31T15:56:34.039Z, run: PE300, tank: 6, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_97f9bc81f19ce9081d1dfda4336f77b1.png 
2022-03-31T15:56:39.335Z, run: PE300, tank: 7, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_5c9d0f9c4a338b40f87db4f479b8f1e3.png 
2022-03-31T15:56:43.854Z, run: PE300, tank: 8, vol: 20, image: /home/pi/pi_pcv/pcv/public/upload_c5d66dc128f5a4196f64b03167b089a2.png 
